name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Restaurant Aux Pyrénées,"131 Av. Aristide Briand, Arcueil",01 46 63 38 83,https://restaurant-aux-pyrenees.business.site/,restaurant,Monday: 6:00 AM – 9:00 PM,Tuesday: 6:00 AM – 9:00 PM,Wednesday: 6:00 AM – 9:00 PM,Thursday: 6:00 AM – 9:00 PM,Friday: 6:00 AM – 9:00 PM,Saturday: 6:00 AM – 9:00 PM,Sunday: 6:00 AM – 9:00 PM
Bistro Le Physalis,"47 Av. Henri Ginoux, Montrouge",01 47 46 14 26,https://www.le-physalis-restaurant-montrouge.fr/,cafe,"Monday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Tuesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Wednesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Thursday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Friday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Sunday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"
Par Faim d'Arômes,"1 Rue la Boissière, Fontenay-aux-Roses",01 46 61 59 34,http://www.parfaimdaromes.fr/,restaurant,Monday: Closed,Tuesday: 12:00 – 1:30 PM,Wednesday: 12:00 – 1:30 PM,"Thursday: 12:00 – 1:30 PM, 7:30 – 9:30 PM","Friday: 12:00 – 1:30 PM, 7:30 – 9:30 PM","Saturday: 12:00 – 1:30 PM, 7:30 – 9:30 PM",Sunday: 12:00 – 1:30 PM
Restaurant Campanile Arcueil Bagneux,"73 Av. Aristide Briand, Arcueil",01 47 40 87 09,http://www.campanile-paris-sud-porte-dorleans-arcueil.fr/fr/restaurant,restaurant,"Monday: 6:30 – 9:30 AM, 12:00 – 2:00 PM, 7:00 – 10:00 PM","Tuesday: 6:30 – 9:30 AM, 12:00 – 2:00 PM, 7:00 – 10:00 PM","Wednesday: 6:30 – 9:30 AM, 12:00 – 2:00 PM, 7:00 – 10:00 PM","Thursday: 6:30 – 9:30 AM, 12:00 – 2:00 PM, 7:00 – 10:00 PM","Friday: 6:30 – 9:30 AM, 12:00 – 2:00 PM, 7:00 – 10:00 PM","Saturday: 6:30 – 10:00 AM, 7:00 – 10:00 PM","Sunday: 6:30 – 10:00 AM, 7:00 – 10:00 PM"
Les Canailles bistro chatillonnais,"49 Bd de Vanves, Châtillon",09 53 95 37 34,http://lescanailleschatillon.fr/,restaurant,Monday: Closed,"Tuesday: 12:00 – 2:00 PM, 7:30 – 9:30 PM","Wednesday: 12:00 – 2:00 PM, 7:15 – 9:30 PM","Thursday: 12:00 – 2:00 PM, 7:15 – 9:30 PM","Friday: 12:00 – 2:00 PM, 7:15 – 9:30 PM","Saturday: 12:00 – 2:00 PM, 7:30 – 9:30 PM",Sunday: Closed
Le Monroe restaurant lounge,"234 Av. Aristide Briand, Bagneux",06 18 75 16 45,https://me-qr.com/fr/mobile/pdf/14408910,restaurant,Monday: 12:00 PM – 2:00 AM,Tuesday: 12:00 PM – 2:00 AM,Wednesday: 12:00 PM – 2:00 AM,Thursday: 12:00 PM – 2:00 AM,Friday: 12:00 PM – 2:00 AM,Saturday: 12:00 PM – 2:00 AM,Sunday: 12:00 PM – 2:00 AM
Le Sud,"92 Av. Lénine, Gentilly",01 71 36 12 71,Not Available,restaurant,Monday: 7:00 AM – 9:00 PM,Tuesday: 7:00 AM – 9:00 PM,Wednesday: 7:00 AM – 9:00 PM,Thursday: 7:00 AM – 9:00 PM,Friday: 7:00 AM – 9:00 PM,Saturday: 7:00 AM – 9:00 PM,Sunday: Closed
Restaurant Kitchen and Bar by Courtyard Arcueil,"6 Av. du Président Salvador Allende, Arcueil",01 77 01 20 50,https://www.marriott.com/fr/hotels/parac-courtyard-paris-arcueil/dining/,restaurant,"Monday: 12:00 – 2:30 PM, 6:30 – 10:30 PM","Tuesday: 12:00 – 2:30 PM, 6:30 – 10:30 PM","Wednesday: 12:00 – 2:30 PM, 6:30 – 10:30 PM","Thursday: 12:00 – 2:30 PM, 6:30 – 10:30 PM",Friday: 12:00 – 2:30 PM,Saturday: Closed,Sunday: 6:30 – 10:30 PM
Bar Restaurant l’Auberge,"15 Rue Hoche, Malakoff",09 82 58 65 22,Not Available,restaurant,"Monday: 12:00 – 3:00 PM, 7:00 – 10:00 PM","Tuesday: 12:00 – 3:00 PM, 7:00 – 10:00 PM","Wednesday: 12:00 – 3:00 PM, 7:00 – 10:00 PM","Thursday: 12:00 – 3:00 PM, 7:00 – 10:00 PM","Friday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM",Sunday: Closed
Restaurant Auberge de Bagneux,"107 Rue Jean Marin Naudin, Bagneux",01 46 57 94 93,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
