name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Eternal Flowers,"19 Greville Smith Ave, Whitnash, Leamington Spa",07521 455879,http://www.eternal-flowers.com/,florist,Monday: 8:30 AM – 7:00 PM,Tuesday: 8:30 AM – 7:00 PM,Wednesday: 8:30 AM – 7:00 PM,Thursday: 8:30 AM – 7:00 PM,Friday: 8:30 AM – 7:00 PM,Saturday: 8:30 AM – 4:30 PM,Sunday: 10:00 AM – 2:00 PM
Green and Wild Flowers,"59 Smith St, Warwick",01926 494353,http://www.greenandwildflowers.com/,florist,Monday: Closed,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: Closed
Jayne Of Warwick,"51 Brook St, Warwick",01926 401451,http://www.jayneofwarwick.co.uk/,florist,Monday: 9:00 AM – 1:00 PM,Tuesday: 9:00 AM – 1:00 PM,Wednesday: 9:00 AM – 1:00 PM,Thursday: 9:00 AM – 1:00 PM,Friday: 9:00 AM – 1:00 PM,Saturday: Closed,Sunday: Closed
Griffiths & Co,"Packmore St, Warwick",Not Available,http://www.griffithsandcompany.co.uk/,florist,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Regency Flowers,"51 Regent Grove, Leamington Spa",01926 425272,http://regency-flowers.co.uk/,florist,Monday: 9:00 AM – 2:00 PM,Tuesday: 9:00 AM – 2:00 PM,Wednesday: 9:00 AM – 4:00 PM,Thursday: 9:00 AM – 4:00 PM,Friday: 9:00 AM – 4:00 PM,Saturday: 9:00 AM – 4:00 PM,Sunday: Closed
Bluebell Florist,"19 Guy's Cliffe Rd, Leamington Spa",01926 935133,http://www.bluebell-florist.com/,florist,Monday: Closed,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 2:00 PM,Sunday: Closed
Sarah Horne Flowers & Botanicals,"86 Warwick St, Leamington Spa",01926 424826,http://www.sarahhornebotanicals.com/,florist,Monday: 10:00 AM – 5:00 PM,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: Closed
Pure Botanics,"87 Warwick St, Leamington Spa",Not Available,http://www.purebotanics.co.uk/,florist,Monday: 9:00 AM – 4:30 PM,Tuesday: 9:00 AM – 4:30 PM,Wednesday: 9:00 AM – 4:30 PM,Thursday: 9:00 AM – 4:30 PM,Friday: 9:00 AM – 4:30 PM,Saturday: 9:00 AM – 4:30 PM,Sunday: Closed
Running with Wolves,"Plymouth Pl, Leamington Spa",07843 253193,http://www.runningwithwolvesfloraldesign.com/,florist,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: Closed
Gentle Blooms Flower Farm,"25 Fernhill Dr, Leamington Spa",07515 719704,https://www.gentleblooms.co.uk/,florist,Monday: 9:00 AM – 4:00 PM,Tuesday: 9:00 AM – 4:00 PM,Wednesday: 9:00 AM – 4:00 PM,Thursday: 9:00 AM – 4:00 PM,Friday: 9:00 AM – 4:00 PM,Saturday: 9:00 AM – 4:00 PM,Sunday: Closed
Honesty Flowers | Florist Leamington Spa,"12 York Rd, Leamington Spa",07980 749269,https://www.honestyflowers.co.uk/,florist,Monday: 9:00 AM – 4:30 PM,Tuesday: 9:00 AM – 4:30 PM,Wednesday: 9:00 AM – 4:30 PM,Thursday: 9:00 AM – 4:30 PM,Friday: 9:00 AM – 4:30 PM,Saturday: Closed,Sunday: Closed
Sarah Hiley Florist,"30 Haddon Rd, Lillington, Leamington Spa",07584 161177,Not Available,florist,Monday: 9:00 AM – 6:00 PM,Tuesday: 9:00 AM – 6:00 PM,Wednesday: 9:00 AM – 6:00 PM,Thursday: 9:00 AM – 6:00 PM,Friday: 9:00 AM – 6:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: Closed
Little Garden,"120 Regent St, Leamington Spa",01926 450119,https://littlegardenflowers.co.uk/,florist,Monday: Closed,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: 10:00 AM – 4:00 PM
Foreverlie - Everlasting Floral Design -,"APPOINTMENT ONLY, 37 Warwick St, Leamington Spa",07958 685369,Not Available,florist,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Oak & Ivy,"Old Warwick Rd, Rowington, Warwickshire",07976 908777,http://oakandivy.co.uk/,florist,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: 9:00 AM – 5:00 PM
