name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Harborne Kitchen,"175-179 High St, Harborne, Birmingham",0121 439 9150,http://www.harbornekitchen.com/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 6:00 – 11:00 PM,Thursday: 6:00 – 11:00 PM,"Friday: 12:30 – 1:30 PM, 6:00 PM – 12:00 AM","Saturday: 12:00 – 1:45 PM, 6:00 PM – 12:00 AM",Sunday: Closed
Supper Club,"Moor Pool Ave, Harborne, Birmingham",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Little Blackwood,"145 Alcester Rd, Birmingham",07458 302600,https://www.littleblackwood.co.uk/menu,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 6:00 – 9:00 PM,Friday: 6:00 – 9:00 PM,Saturday: 6:00 – 9:00 PM,Sunday: Closed
Bombay Brasserie,"2a Station Rd, King's Heath, Birmingham",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Carters of Moseley,"2c St Mary's Row, Wake Green Rd, Moseley, Birmingham",0121 449 8885,http://www.cartersofmoseley.co.uk/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 6:30 PM – 12:00 AM,Thursday: 6:30 PM – 12:00 AM,"Friday: 12:00 – 4:00 PM, 6:30 PM – 12:00 AM","Saturday: 12:00 – 4:00 PM, 6:30 PM – 12:00 AM",Sunday: Closed
Old Damascus (King's Heath),"2 Alcester Rd S, King's Heath, Birmingham",0121 441 4915,http://www.olddamascus.co.uk/,restaurant,Monday: 3:00 – 10:30 PM,Tuesday: 3:00 – 10:30 PM,Wednesday: 3:00 – 10:30 PM,Thursday: 3:00 – 10:30 PM,Friday: 3:00 – 10:30 PM,Saturday: 11:00 AM – 10:30 PM,Sunday: 11:00 AM – 10:30 PM
Loco Lounge,"32-34 High St, King's Heath, Birmingham",0121 444 1296,https://thelounges.co.uk/loco/,restaurant,Monday: 9:00 AM – 11:00 PM,Tuesday: 9:00 AM – 11:00 PM,Wednesday: 9:00 AM – 11:00 PM,Thursday: 9:00 AM – 11:00 PM,Friday: 9:00 AM – 11:00 PM,Saturday: 9:00 AM – 11:00 PM,Sunday: 9:00 AM – 11:00 PM
241 Burgers,"93A Alcester Rd, Birmingham",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mak Yem Restaurant,"43 Alcester Rd, Birmingham",07949 595256,https://sites.google.com/view/liam-lynch12/home,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: Closed,Saturday: Open 24 hours,Sunday: Open 24 hours
Dosa Village,"135 Stratford Rd, Shirley, Solihull",0121 572 6565,https://www.dosavillageshirley.com/storemenu,restaurant,Monday: 12:00 – 9:30 PM,Tuesday: 12:00 – 9:30 PM,Wednesday: 12:00 – 9:30 PM,Thursday: 12:00 – 9:30 PM,Friday: 12:00 – 9:30 PM,Saturday: 12:00 – 9:30 PM,Sunday: 12:00 – 9:30 PM
