name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Spicemenu,"88 Weoley Castle Rd, Birmingham",0121 475 7755,http://www.spicemenu.co.uk/,restaurant,Monday: 5:00 – 11:00 PM,Tuesday: 5:00 – 11:00 PM,Wednesday: 5:00 – 11:00 PM,Thursday: 5:00 – 11:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 5:00 – 11:00 PM
"Omar Khayam Indian Restaurant, Northfield, Birmingham (Fully Licensed)","711 Bristol Rd S, Northfield, Birmingham",0121 477 2161,http://omarkhayam.co.uk/,liquor_store,Monday: 5:00 – 10:30 PM,Tuesday: 5:00 – 10:30 PM,Wednesday: 5:00 – 10:30 PM,Thursday: 5:00 – 10:30 PM,Friday: 5:00 – 10:30 PM,Saturday: 5:00 – 10:30 PM,Sunday: 5:00 – 10:30 PM
Phat Munch,"71 Bottetourt Rd, Birmingham",0121 270 7186,http://www.phattmunch.co.uk/,meal_takeaway,Monday: 5:00 – 10:30 PM,Tuesday: 5:00 – 10:30 PM,Wednesday: 5:00 – 10:30 PM,Thursday: 5:00 – 10:30 PM,Friday: 5:00 – 11:30 PM,Saturday: 5:00 – 11:30 PM,Sunday: 5:00 – 10:30 PM
Balti 2000,"101 Grove Ln, Birmingham",0121 427 2277,http://www.balti2000.com/,meal_takeaway,Monday: 5:00 – 10:30 PM,Tuesday: 5:00 – 10:30 PM,Wednesday: Closed,Thursday: 5:00 – 10:30 PM,Friday: 5:00 – 10:30 PM,Saturday: 5:00 – 10:30 PM,Sunday: 5:00 – 10:30 PM
Chilli Peppers,"179 Weoley Castle Rd, Birmingham",0121 428 1573,https://www.chillipeppersbalti.com/,meal_takeaway,Monday: 4:45 – 11:00 PM,Tuesday: 4:45 – 11:00 PM,Wednesday: 4:45 – 11:00 PM,Thursday: 4:45 – 11:00 PM,Friday: 4:45 – 11:00 PM,Saturday: 4:45 – 11:00 PM,Sunday: 4:45 – 11:00 PM
Wayanns Restaurant & Bar,"855 Bristol Rd S, Northfield, Birmingham",0121 475 8673,https://wayanns.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,restaurant,Monday: 12:00 – 9:00 PM,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 9:00 PM
Bistro @b31,"100 Chatham Rd, Birmingham",07909 861213,https://www.bistrob31.co.uk/,restaurant,Monday: 9:30 AM – 2:30 PM,Tuesday: 9:30 AM – 2:30 PM,Wednesday: 9:30 AM – 2:30 PM,Thursday: 9:30 AM – 2:30 PM,Friday: 9:30 AM – 2:30 PM,Saturday: Closed,Sunday: 9:00 AM – 3:00 PM
The Hungry Fellas,"24 Hillwood Rd, Birmingham",0121 478 1050,http://www.thehungryfellas.co.uk/,restaurant,Monday: 9:00 AM – 9:00 PM,Tuesday: 9:00 AM – 9:00 PM,Wednesday: 9:00 AM – 9:00 PM,Thursday: 9:00 AM – 9:00 PM,Friday: 9:00 AM – 9:00 PM,Saturday: 9:00 AM – 9:00 PM,Sunday: 9:00 AM – 8:00 PM
Wah Hung,"94 Weoley Castle Rd, Birmingham",0121 476 0231,https://wahhung-birmingham.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,restaurant,Monday: 5:00 – 10:30 PM,Tuesday: Closed,Wednesday: 5:00 – 10:30 PM,Thursday: 5:00 – 10:30 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 6:00 – 10:30 PM
Pizza Box,"4 Genners Ln, Bartley Green, Birmingham",0121 476 2575,https://pizzaboxbirmingham.com/storemenu,restaurant,Monday: 3:00 – 10:00 PM,Tuesday: 3:00 – 10:00 PM,Wednesday: 3:00 – 10:00 PM,Thursday: 3:00 – 10:00 PM,Friday: 3:00 – 10:00 PM,Saturday: 3:00 – 10:00 PM,Sunday: 3:00 – 10:00 PM
